Entity Name,Category,Has Affiliate?,Commission Rate,Commission Type,Cookie Duration (days),Revenue Potential,Ethical Score,Signup URL,Payout Method,Payout Threshold,Notes,Research Status
Shopify,Platform,Yes,$150 OR 20% recurring,Tiered/Recurring,365,Very High,9/10,https://partners.shopify.com,Direct deposit,$10,Best platform affiliate - recurring revenue,COMPLETE
BigCommerce,Platform,Yes,200% first month ($160-600),One-time,90,Very High,9/10,https://www.bigcommerce.com/partners/,PayPal/Direct,$50,Highest per-sale commission,COMPLETE
WooCommerce,Platform,Yes,30%,Recurring,30,Medium,9/10,https://automattic.com/affiliates/,PayPal,$25,WordPress ecosystem,COMPLETE
Wix,Platform,Yes,$100 flat,One-time,30,Medium,8/10,https://www.wix.com/about/affiliates,PayPal,$300,Lower tier platform,COMPLETE
Amazon Associates,Platform,Yes,1-20% (varies by category),One-time,24,Medium,8/10,https://affiliate-program.amazon.com,Direct deposit/check,$10,For FBA alternative recommendations,COMPLETE
eBay Partner Network,Platform,Yes,1-7.5%,One-time,30,Low,7/10,https://partnernetwork.ebay.com,PayPal,$10,Ambassador program available,COMPLETE
Franklin Hatchett - eCom Elites,Guru Course,No (CLOSED),25% historical,N/A,N/A,None,6/10,PROGRAM DISCONTINUED,N/A,N/A,Affiliate program closed - do NOT promote,COMPLETE
Anton Kraly - Dropship Lifestyle,Guru Course,Yes (selective),~40% (~$1600 per sale),One-time,60,Very High,7/10,https://dropshiplifestyle.com/affiliates,Wire transfer,$500,Highest single commission - strict vetting required,COMPLETE
Project Verum - Ecom Foundations,Guru Course,Likely Yes,20-30% estimated,One-time,Unknown,Medium,8/10,NEEDS RESEARCH,Unknown,Unknown,Most honest course - research affiliate details,NEEDS INQUIRY
Jordan Welch - eCom Accelerator,Guru Course,Likely Yes,Unknown,Unknown,Unknown,Unknown,7/10,NEEDS RESEARCH,Unknown,Unknown,Popular YouTube guru - check for affiliate,NEEDS INQUIRY
Dropship Breakthru,Guru Course,Yes,Unknown,Unknown,Unknown,Medium,7/10,NEEDS RESEARCH,Unknown,Unknown,Confirmed active - get commission details,NEEDS INQUIRY
